シ,し,610,610,258,-1.5965
、,、,10,10,151,-1.2321
スル,する,599,599,481,-1.9168
。,。,8,8,61,-1.3153
ノ,の,368,368,408,-1.2510
デ,で,149,149,468,-1.6182
デ,で,458,458,468,-1.9278
タ,た,435,435,282,-1.4199
テ,て,307,307,356,-1.5110
ナ,な,454,454,287,-1.8586
ナイ,ない,473,473,468,-1.8924
シロ,しろ,608,608,437,-1.9482
！,！,1318,1318,244,-1.9616
・,・,5,5,203,-2.8161
マシ,まし,501,501,17,-1.9992
イル,いる,919,919,468,-2.0007
ヲ,を,156,156,356,-1.4239
ト,と,150,150,282,-2.0201
レ,れ,876,876,468,-2.0314
「,「,6,6,352,-2.0436
ガ,が,299,299,468,-2.0588
イ,い,930,930,356,-2.0994
ナ,な,12,12,468,-2.1120
ナウ,なう,32,32,468,-2.1120
ナカレ,なかれ,30,30,468,-2.1120
ナキ,なき,22,22,468,-2.1120
ナシ,なし,24,24,468,-2.1120
ト,と,363,363,282,-2.1141
ニ,に,329,329,282,-2.1204
ヨ,よ,288,288,17,-2.1261
